,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,target
T1060s3TS319_4,0.54026,0.602502,0.588,0.614,0.700,0.75334,0.6785,0.6769,0.5710901,0.46245652,0.748,0.537,0.465,0.85679317,0.517,0.535230,319s,62.4,100.0,311.0,,0.33,42.07,23.74,34.93,4.412,5.386,123.0,0.0,69.92,79.67,82.11,62.89,2.09,6.18,11.5,116.0,3.0,2.81,0.6,80.08,0.61,0.69,0.91,0.31,0.85,56.2,5.46,89.15,73.74,0.71,678.8,5.33,85.32,0.37,65.88,1.68,1.45,94.93,T1060s3
T1060s3TS337_1,0.53402,0.654817,0.650,0.592,0.758,0.79223,0.6793,0.6993,0.6038829,0.48078126,0.768,0.554,0.497,0.8570943,0.523,0.542736,337s,66.26,100.0,183.0,0.53,0.56,44.92,25.75,39.5,4.032,5.088,123.0,6.0,73.98,82.93,84.55,70.217,1.95,6.68,12.5,114.0,2.5,2.46,0.62,80.89,0.64,0.73,0.95,0.24,0.87,51.3,5.6,91.41,79.72,0.74,732.6,5.57,84.09,0.42,21.37,3.36,0.0,96.38,T1060s3
T1060s3TS487_1,0.54485,0.659711,0.645,0.594,0.734,0.77752,0.6922,0.7174,0.6060657,0.4735114,0.747,0.538,0.527,0.8542452,0.537,0.538628,487s,68.9,100.0,48.0,0.68,0.72,47.77,26.95,39.64,4.065,5.04,123.0,0.0,73.98,83.74,86.18,72.884,1.85,7.48,13.0,116.0,2.6,1.89,0.63,78.86,0.63,0.71,0.94,0.26,0.87,55.5,5.46,91.98,80.13,0.75,749.1,4.91,84.36,0.39,10.43,0.84,0.72,94.93,T1060s3
T1060s3TS050_2,0.26229,0.453782,0.363,0.310,0.468,0.50780,0.5020,0.5230,0.432849,0.37266913,0.622,0.329,0.322,0.5962611,0.411,0.215890,050s,49.19,100.0,389.0,,-0.45,28.45,10.17,18.91,5.924,7.007999999999999,123.0,0.0,39.02,64.23,66.67,43.166,2.53,4.67,5.8,110.0,4.4,3.18,0.47,53.66,0.53,0.54,0.81,0.53,0.82,55.8,4.89,74.82,61.3,0.55,394.6,13.43,86.22,0.25,71.56,3.36,2.9,92.75,T1060s3
T1060s3TS460_1,0.54447,0.643523,0.648,0.589,0.759,0.79475,0.6654,0.6930,0.5900965,0.47216243,0.767,0.555,0.481,0.85672,0.523,0.537630,460s,66.26,100.0,183.0,0.53,0.56,45.32,24.67,39.61,4.104,5.131,123.0,5.0,73.17,81.3,82.93,68.5,1.89,6.38,12.5,114.0,2.5,2.68,0.62,81.71,0.64,0.73,0.95,0.24,0.87,51.3,5.6,91.41,79.57,0.74,732.1,5.62,83.84,0.42,20.89,4.2,0.72,94.2,T1060s3
T1060s3TS377_5,0.52947,0.63637,0.639,0.587,0.715,0.77439,0.6888,0.7161,0.5840829,0.47495514,0.757,0.524,0.465,0.85780346,0.518,0.527745,377s,61.99,100.0,323.0,,0.31,41.47,22.44,35.25,4.449,5.229,123.0,8.0,69.11,81.3,83.74,65.883,2.08,6.58,11.7,113.0,3.0,2.58,0.6,78.05,0.63,0.69,0.93,0.29,0.85,51.1,5.46,90.72,77.34,0.7,687.8,4.66,86.77,0.38,25.7,1.68,2.9,91.3,T1060s3
T1060s3TS209_3,0.51034,0.706419,0.648,0.575,0.738,0.74835,0.7016,0.7100,0.6442134,0.46460676,0.782,0.591,0.632,0.8472389,0.537,0.512052,209s,67.68,100.0,101.0,,0.64,46.75,27.96,38.82,3.8,4.722,123.0,1.0,73.98,83.74,86.18,67.574,1.99,7.08,12.9,119.0,3.2,1.02,0.65,82.11,0.66,0.74,0.95,0.23,0.88,56.9,5.46,91.71,81.28,0.74,752.8,5.09,88.41,0.45,0.95,0.0,0.0,96.38,T1060s3
T1060s3TS326_4,0.55050,0.634542,0.612,0.587,0.724,0.77744,0.6607,0.6725,0.6037418,0.47576922,0.761,0.550,0.496,0.85435355,0.526,0.535406,326s,67.07,100.0,156.0,,0.61,45.53,25.97,40.27,3.648,4.507,123.0,9.0,73.17,83.74,84.55,70.75399999999998,1.91,6.98,12.6,116.0,3.1,2.56,0.65,88.21,0.65,0.76,0.96,0.21,0.88,52.2,5.33,92.53,81.61,0.75,737.7,3.87,,0.43,33.84,0.84,3.62,89.86,T1060s3
T1060s3TS183_3,0.54062,0.627547,0.658,0.616,0.731,0.78103,0.6900,0.7239,0.593149,0.47376233,0.796,0.565,0.516,0.8515059,0.523,0.565114,183s,70.12,100.0,18.0,,0.79,48.98,26.36,41.68,4.0539999999999985,4.868,123.0,0.0,74.8,82.93,84.55,69.756,1.82,5.97,12.7,119.0,3.3,2.1,0.65,84.96,0.66,0.74,0.95,0.2,0.88,50.7,5.46,91.9,80.19,0.75,736.3,3.96,,0.42,10.43,3.36,0.0,97.1,T1060s3
T1060s3TS187_4,0.54574,0.564173,0.622,0.592,0.685,0.76317,0.6618,0.6892,0.5288625,0.45616397,0.733,0.529,0.463,0.85716504,0.513,0.505374,187s,65.65,100.0,218.0,,0.52,44.92,27.62,39.05,4.09,4.939,123.0,1.0,72.36,82.11,84.55,65.329,2.0,6.68,12.0,119.0,3.3,2.66,0.63,81.3,0.63,0.73,0.94,0.27,0.87,55.0,5.6,90.73,76.79,0.73,703.7,4.72,83.5,0.4,63.03,0.0,2.17,94.2,T1060s3
T1060s3TS487_4,0.51630,0.677351,0.659,0.562,0.743,0.75790,0.6523,0.6670,0.631531,0.48366395,0.750,0.526,0.508,0.8517446,0.525,0.518338,487s,67.89,100.0,92.0,,0.66,46.75,26.19,40.07,3.819,4.717,123.0,0.0,76.42,83.74,86.99,73.188,1.97,7.08,12.9,118.0,2.7,1.83,0.61,80.49,0.64,0.72,0.94,0.26,0.88,56.6,5.6,92.18,80.82,0.75,752.1,4.0,84.78,0.41,8.06,0.84,1.45,94.2,T1060s3
T1060s3TS238_2,0.55064,0.636028,0.623,0.618,0.772,0.78241,0.7060,0.7577,0.6076983,0.47286883,0.791,0.555,0.524,0.851828,0.518,0.553598,238s,69.92,100.0,26.0,,0.78,48.78,26.64,41.67,3.981,4.833,123.0,0.0,74.8,83.74,84.55,69.696,1.79,6.58,12.8,119.0,3.3,2.28,0.65,83.74,0.66,0.74,0.95,0.21,0.88,54.0,5.46,92.06,80.42,0.76,746.4,4.03,,0.42,9.48,4.2,0.72,95.65,T1060s3
T1060s3TS487_2,0.53067,0.659575,0.643,0.572,0.673,0.76678,0.6206,0.5969,0.6081694,0.47192517,0.749,0.525,0.497,0.8535287,0.525,0.556583,487s,69.72,100.0,30.0,,0.76,48.38,27.02,41.1,3.882,4.896,123.0,0.0,76.42,85.37,86.99,71.062,1.84,6.68,13.2,117.0,2.8,2.12,0.62,80.08,0.64,0.72,0.94,0.25,0.88,46.3,5.6,92.73,81.16,0.75,756.3,3.49,84.42,0.4,13.76,1.68,0.72,95.65,T1060s3
T1060s3TS364_5,0.50174,0.541251,0.574,0.520,0.685,0.74187,0.6167,0.5816,0.5186753,0.45039082,0.725,0.528,0.531,0.8568797,0.497,0.448932,364s,62.8,100.0,298.0,,0.35,40.85,20.52,32.43,3.918,4.851,123.0,0.0,67.48,78.86,79.67,59.24,2.19,6.08,11.9,120.0,3.7,3.15,0.62,78.86,0.61,0.71,0.95,0.26,0.87,61.1,5.6,90.15,77.37,0.71,698.4,4.27,77.59,0.35,78.2,0.84,11.59,75.36,T1060s3
T1060s3TS042_2,0.49879,0.629621,0.594,0.539,0.787,0.74509,0.6337,0.6386,0.6132833,0.4490992,0.753,0.506,0.482,0.85298485,0.509,0.466923,042s,64.63,100.0,248.0,,0.46,43.9,22.57,37.2,4.62,5.7970000000000015,123.0,0.0,72.36,81.3,81.3,67.097,2.06,6.58,12.2,116.0,3.3,1.43,0.62,75.61,0.64,0.69,0.92,0.38,0.86,66.6,5.6,89.26,76.5,0.72,719.1,5.15,86.86,0.39,0.0,4.2,2.17,92.75,T1060s3
T1060s3TS013_1,0.48172,0.596371,0.493,0.499,0.698,0.66823,0.6888,0.6843,0.5703696,0.44129482,0.755,0.537,0.538,0.83154875,0.514,0.408891,013s,60.98,100.0,345.0,0.22,0.25,40.65,19.4,32.34,4.354,5.393,123.0,0.0,66.67,80.49,84.55,59.067,2.14,6.38,10.5,114.0,3.0,0.74,0.59,67.48,0.62,0.65,0.9,0.39,0.85,66.3,5.46,87.12,70.41,0.7,633.5,16.33,82.83,0.38,0.0,0.0,0.0,96.38,T1060s3
T1060s3TS226_4,0.50550,0.580356,0.598,0.528,0.616,0.75983,0.6489,0.6533,0.5538354,0.4419709,0.743,0.540,0.473,0.84934413,0.509,0.495651,226s,64.63,100.0,248.0,,0.46,43.91,21.73,37.06,4.407,5.316,123.0,0.0,73.98,80.49,82.93,69.719,1.97,6.68,11.9,115.0,3.0,1.41,0.61,75.61,0.62,0.68,0.92,0.28,0.86,55.9,5.73,90.73,76.9,0.72,697.4,6.4,86.11,0.4,0.95,0.0,1.45,86.96,T1060s3
T1060s3TS042_4,0.48934,0.563302,0.547,0.540,0.671,0.71360,0.6324,0.6124,0.5326911,0.43873388,0.707,0.519,0.431,0.8322562,0.51,0.446486,042s,63.21,100.0,290.0,,0.38,40.85,20.89,33.51,3.572,4.455,123.0,0.0,69.11,79.67,80.49,61.992,2.09,6.38,11.2,118.0,3.4,1.77,0.61,77.64,0.62,0.69,0.93,0.3,0.88,63.2,5.73,89.7,76.86,0.7,668.1,3.87,85.47,0.36,1.42,2.52,0.72,88.41,T1060s3
T1060s3TS319_5,0.51869,0.598729,0.613,0.582,0.647,0.74257,0.6557,0.6672,0.5481292,0.4533554,0.726,0.511,0.431,0.849517,0.508,0.513423,319s,66.06,100.0,196.0,,0.55,44.92,24.72,37.51,3.886,4.913,123.0,1.0,73.17,81.3,84.55,69.551,1.96,6.78,11.7,118.0,3.1,2.89,0.62,80.49,0.62,0.72,0.94,0.29,0.87,71.7,5.73,90.6,76.2,0.73,692.6,4.93,84.83,0.37,76.78,0.84,2.9,90.58,T1060s3
T1060s3TS042_1,0.51572,0.641089,0.590,0.543,0.776,0.77204,0.6977,0.7225,0.6039829,0.46750158,0.783,0.554,0.554,0.8531897,0.535,0.515586,042s,66.26,100.0,183.0,0.53,0.56,45.33,23.91,38.27,4.125,5.0280000000000005,123.0,0.0,74.8,82.11,85.37,67.509,1.97,6.58,12.7,116.0,2.8,0.66,0.64,80.49,0.65,0.72,0.94,0.26,0.87,57.0,5.73,91.42,78.99,0.73,744.6,4.44,87.47,0.42,0.0,0.84,0.0,97.1,T1060s3
T1060s3TS487_5,0.52682,0.664331,0.674,0.573,0.730,0.76091,0.6964,0.7157,0.6179088,0.47853178,0.762,0.514,0.493,0.8540158,0.531,0.519290,487s,67.68,100.0,101.0,,0.64,46.55,24.8,38.09,4.007,5.033,123.0,0.0,73.98,80.49,83.74,72.255,2.04,7.08,12.9,117.0,2.9,2.06,0.59,80.08,0.64,0.72,0.94,0.25,0.87,53.6,5.46,92.3,80.79,0.74,754.6,6.25,83.81,0.42,9.48,1.68,1.45,94.2,T1060s3
T1060s3TS198_1,0.51886,0.586368,0.595,0.609,0.700,0.74904,0.6510,0.6693,0.5617245,0.46039027,0.739,0.524,0.438,0.8574669,0.5,0.535667,198s,63.21,100.0,290.0,0.35,0.38,42.69,21.32,33.8,4.727,5.44,123.0,1.0,70.73,80.49,81.3,59.635,2.21,6.38,11.1,114.0,3.3,2.75,0.6,79.27,0.62,0.7,0.94,0.28,0.85,52.6,5.46,89.2,74.06,0.69,661.0,4.82,84.12,0.37,55.92,0.84,3.62,90.58,T1060s3
T1060s3TS183_1,0.55835,0.621494,0.657,0.626,0.751,0.78357,0.7562,0.8119,0.6017947,0.4704029,0.798,0.549,0.513,0.8503913,0.522,0.572197,183s,70.33,100.0,15.0,0.77,0.8,50.0,25.78,42.15,4.0280000000000005,4.863,123.0,0.0,73.98,83.74,86.18,71.087,1.83,5.87,12.9,118.0,3.2,2.32,0.65,84.96,0.66,0.74,0.95,0.21,0.88,52.9,5.46,92.2,81.16,0.76,752.3,4.0,,0.44,12.32,4.2,1.45,96.38,T1060s3
T1060s3TS097_3,0.39641,0.530965,0.473,0.420,0.580,0.59758,0.5731,0.5658,0.5271628,0.42395315,0.645,0.444,0.420,0.81273353,0.474,0.302428,097s,56.1,100.0,372.0,,-0.04,34.96,12.33,24.25,4.633,5.42,123.0,1.0,53.66,73.17,75.61,49.903,2.57,5.57,8.4,113.0,3.7,3.31,0.5,69.92,0.58,0.62,0.85,0.41,0.85,75.3,4.89,85.05,69.53,0.62,524.6,8.22,83.14,0.33,128.03,0.0,10.14,79.71,T1060s3
T1060s3TS468_2,0.51279,0.590538,0.570,0.540,0.718,0.76190,0.6465,0.6483,0.5686966,0.4652328,0.693,0.548,0.463,0.84818447,0.51,0.459909,468s,68.5,100.0,74.0,,0.69,46.75,25.21,39.65,3.404,4.244,123.0,11.0,77.24,86.18,86.18,72.997,2.0,6.48,12.9,121.0,3.2,3.45,0.52,88.21,0.66,0.76,0.96,0.21,0.89,77.1,5.86,91.85,80.45,0.75,747.6,3.41,,0.44,99.33,3.36,6.52,88.41,T1060s3
T1060s3TS198_3,0.52052,0.611955,0.596,0.607,0.672,0.74984,0.6356,0.6193,0.5601732,0.45354995,0.740,0.541,0.479,0.85378,0.514,0.520122,198s,61.99,100.0,323.0,,0.31,41.46,22.68,34.19,4.577,5.505,123.0,0.0,69.92,79.67,80.49,58.13800000000001,2.08,6.28,11.1,112.0,3.1,3.18,0.61,79.27,0.62,0.7,0.93,0.32,0.85,55.4,5.46,89.3,74.19,0.7,661.0,4.85,85.16,0.38,66.35,3.36,5.8,92.03,T1060s3
T1060s3TS351_4,0.53513,0.624683,0.645,0.618,0.749,,0.6800,0.7209,0.5988396,0.4727413,0.799,0.561,0.512,0.85201824,0.518,0.564344,351s,69.92,100.0,26.0,,0.78,48.58,27.48,42.0,4.038,4.847,123.0,0.0,74.8,84.55,85.37,70.92399999999998,1.85,5.97,12.7,117.0,3.2,2.15,0.65,84.55,0.66,0.75,0.95,0.2,0.88,53.4,5.46,91.99,80.03,0.76,741.8,4.18,,0.43,13.27,4.2,0.72,97.83,T1060s3
T1060s3TS187_1,0.49054,0.588765,0.626,0.621,0.716,0.76589,0.6557,0.6630,0.5596602,0.45907632,0.746,0.538,0.459,0.8574028,0.512,0.511473,187s,65.85,100.0,205.0,0.51,0.54,44.92,25.87,38.39,4.225,5.184,123.0,0.0,71.54,81.3,84.55,68.008,2.02,6.48,11.9,113.0,2.8,2.72,0.63,80.49,0.63,0.72,0.94,0.27,0.87,61.2,5.6,90.69,76.6,0.73,700.7,4.62,83.45,0.39,66.35,0.0,2.17,93.48,T1060s3
T1060s3TS050_1,0.24061,0.458273,0.401,0.306,0.489,0.52538,0.5043,0.5235,0.4416764,0.39325494,0.595,0.358,0.317,0.6179789,0.422,0.206627,050s,49.19,100.0,389.0,-0.47,-0.45,28.66,11.27,19.46,6.825,7.657,123.0,0.0,47.15,62.6,64.23,43.74800000000001,2.57,4.67,5.4,99.0,3.5,3.39,0.47,54.88,0.53,0.53,0.79,0.55,0.81,58.3,5.04,76.24,60.95,0.55,371.6,19.08,87.84,0.28,71.09,5.88,1.45,92.03,T1060s3
T1060s3TS317_1,0.16292,0.424318,0.337,0.318,0.529,0.44711,0.4624,0.3646,0.4366562,0.34128684,0.574,0.401,0.370,0.64828837,0.428,0.244066,317s,45.33,100.0,417.0,-0.7,-0.68,25.0,8.85,17.5,6.763,7.782,123.0,0.0,35.77,64.23,64.23,41.317,2.66,4.17,6.1,103.0,4.0,3.09,0.46,51.22,0.53,0.5,0.65,0.79,0.77,77.2,4.74,80.03,59.52,0.53,407.6,31.34,72.3,0.2,12.8,8.4,11.59,77.54,T1060s3
T1060s3TS183_4,0.56058,0.570064,0.626,0.564,0.691,0.72403,0.6684,0.6418,0.573235,0.4512083,0.740,0.525,0.449,0.8557992,0.509,0.481744,183s,65.24,100.0,232.0,,0.5,43.29,24.07,35.19,3.768,4.819,123.0,0.0,71.54,82.93,82.93,61.554,2.04,6.48,11.5,120.0,3.4,2.4,0.63,79.67,0.63,0.72,0.94,0.27,0.88,75.9,5.6,90.59,76.87,0.72,673.0,5.99,,0.4,20.85,0.84,3.62,88.41,T1060s3
T1060s3TS097_2,0.38130,0.541014,0.475,0.443,0.512,0.60466,0.5932,0.5861,0.5207017,0.4108971,0.634,0.459,0.412,0.8111115,0.461,0.330808,097s,56.1,100.0,372.0,,-0.04,34.96,13.36,24.4,4.5139999999999985,5.473,123.0,2.0,52.03,74.8,76.42,50.225,2.6,5.57,8.6,110.0,3.3,3.43,0.53,70.33,0.58,0.61,0.85,0.42,0.86,73.8,4.74,84.82,69.26,0.62,535.2,7.61,83.9,0.28,147.88,0.0,14.49,74.64,T1060s3
T1060s3TS140_4,0.53279,0.653961,0.643,0.589,0.753,0.79151,0.7321,0.7501,0.5896509,0.47439694,0.768,0.552,0.467,0.85626984,0.523,0.532124,140s,66.46,100.0,175.0,,0.57,45.12,25.99,39.39,4.009,5.049,123.0,7.0,72.36,82.11,84.55,76.248,1.91,6.78,12.5,114.0,2.5,2.52,0.62,80.89,0.64,0.73,0.95,0.24,0.87,49.4,5.6,91.3,79.58,0.74,352.9,5.57,83.86,0.41,25.17,1.68,0.72,92.75,T1060s3
T1060s3TS377_3,0.52170,0.624423,0.631,0.623,0.749,0.79606,0.7047,0.7219,0.5892516,0.47420058,0.753,0.543,0.470,0.8551307,0.517,0.541809,377s,67.28,100.0,141.0,,0.62,46.14,25.28,39.3,4.098,5.087,123.0,7.0,73.17,82.11,84.55,69.669,1.87,6.78,12.3,115.0,2.6,2.75,0.62,81.71,0.64,0.72,0.95,0.23,0.87,57.8,5.46,91.02,78.06,0.74,407.2,5.18,83.44,0.41,25.65,3.36,5.07,92.75,T1060s3
T1060s3TS226_5,0.47663,0.584846,0.551,0.487,,0.74376,0.6465,0.6247,0.5559914,0.44830218,0.752,0.515,0.501,0.8384601,0.503,0.443620,226s,64.02,100.0,275.0,,0.43,43.09,24.27,35.57,4.383,5.3370000000000015,123.0,0.0,72.36,81.3,83.74,66.878,2.08,6.28,12.3,115.0,2.9,1.35,0.61,78.05,0.61,0.69,0.92,0.29,0.85,54.8,5.04,90.95,78.32,0.71,721.3,3.89,85.91,0.37,0.0,1.68,3.62,84.06,T1060s3
T1060s3TS252_5,0.54627,0.57708,0.595,0.559,0.665,0.75042,0.6603,0.6592,0.5420339,0.45643553,0.723,0.536,0.441,0.853156,0.513,0.521101,252s,65.65,100.0,218.0,,0.52,44.92,25.59,38.13,4.058,4.939,123.0,1.0,72.36,79.67,82.93,65.251,1.92,6.28,12.0,117.0,3.0,3.05,0.63,82.11,0.63,0.72,0.94,0.26,0.87,57.7,5.46,90.53,75.98,0.73,698.5,4.66,84.39,0.41,75.83,1.68,5.07,90.58,T1060s3
T1060s3TS277_3,0.54103,0.622885,0.610,0.610,0.695,0.77351,0.6751,0.6918,0.5860047,0.46756154,0.721,0.548,0.492,0.85087585,0.511,0.500573,277s,67.68,100.0,101.0,,0.64,46.55,25.42,39.8,3.603,4.785,123.0,15.0,76.42,84.55,87.8,78.29899999999998,1.94,6.68,12.8,121.0,3.4,2.93,0.64,83.74,0.65,0.74,0.96,0.24,0.89,61.4,5.86,91.86,80.58,0.75,745.0,3.85,,0.42,33.41,2.52,3.62,86.96,T1060s3
T1060s3TS183_2,0.55409,0.5679,0.630,0.533,0.690,0.71715,0.6615,0.6794,0.5550953,0.46392632,0.746,0.532,0.472,0.8556917,0.514,0.477547,183s,65.85,100.0,205.0,,0.54,43.9,23.46,35.46,3.635,4.502,123.0,1.0,69.92,82.93,83.74,63.928,2.14,6.88,11.9,121.0,3.4,2.61,0.63,78.86,0.63,0.72,0.95,0.27,0.89,46.4,5.6,91.1,78.05,0.73,697.9,3.57,,0.41,18.01,3.36,0.72,92.75,T1060s3
T1060s3TS198_4,0.53844,0.572115,0.588,0.612,0.694,0.74368,0.6335,0.6019,0.5601746,0.451161,0.744,0.526,0.472,0.8553897,0.498,0.518652,198s,61.99,100.0,323.0,,0.31,40.85,21.15,34.26,4.488,5.417000000000002,123.0,0.0,71.54,79.67,82.93,58.541,2.05,6.18,11.3,113.0,3.2,2.85,0.6,78.45,0.6,0.68,0.93,0.3,0.85,53.8,5.33,89.18,74.02,0.7,672.6,4.72,83.65,0.33,70.14,0.84,2.9,90.58,T1060s3
T1060s3TS351_2,0.55335,0.61719,0.656,0.605,0.772,0.78311,0.7025,0.7156,0.5908164,0.46549815,0.803,0.572,0.488,0.85091907,0.518,0.554421,351s,69.31,100.0,35.0,,0.74,47.97,25.78,41.68,3.992,4.754,123.0,0.0,75.61,83.74,85.37,76.991,1.82,6.88,12.8,118.0,3.1,1.78,0.66,83.33,0.67,0.75,0.95,0.21,0.88,52.9,5.46,92.18,80.89,0.75,735.0,4.52,,0.44,7.11,0.84,0.0,94.2,T1060s3
T1060s3TS097_1,0.36543,0.493509,0.474,0.439,0.516,0.60094,0.5821,0.5800,0.4723495,0.40977898,0.629,0.456,0.409,0.8130915,0.456,0.328057,097s,55.28,100.0,378.0,-0.12,-0.09,33.95,12.37,23.29,4.581,5.513,123.0,1.0,49.59,69.11,70.73,49.225,2.58,5.57,8.4,111.0,3.5,3.36,0.53,68.7,0.58,0.6,0.85,0.42,0.85,52.6,4.74,84.9,69.13,0.61,523.8,7.53,82.74,0.31,164.44,0.0,11.59,83.33,T1060s3
T1060s3TS070_1,0.50662,0.644327,0.585,0.536,0.744,0.74475,0.6586,0.6827,0.6115807,0.45023674,0.782,0.559,0.512,0.8527071,0.532,0.493565,070s,64.43,100.0,264.0,0.42,0.45,43.29,21.8,35.64,4.102,5.273,123.0,0.0,72.36,83.74,86.99,67.062,2.12,7.28,11.5,115.0,3.5,0.78,0.61,76.42,0.63,0.7,0.93,0.32,0.87,54.4,5.46,90.1,77.78,0.73,675.0,6.63,85.91,0.37,0.95,0.0,0.0,98.55,T1060s3
T1060s3TS324_5,0.49786,0.587793,0.560,0.519,0.704,0.65574,0.6060,0.6103,0.561459,0.4528765,0.718,0.521,0.533,0.8386309,0.508,0.470262,324s,59.35,100.0,359.0,,0.15,38.42,17.55,28.61,4.493,5.489,123.0,0.0,60.98,73.98,74.8,55.0,2.27,5.67,10.1,112.0,3.6,1.68,0.6,73.98,0.62,0.68,0.9,0.38,0.84,69.4,5.33,88.23,77.18,0.66,611.4,5.9,85.93,0.38,2.37,0.84,5.07,84.78,T1060s3
T1060s3TS209_5,0.50440,0.682512,0.641,0.613,0.705,0.73018,0.6974,0.6947,0.6107815,0.45833683,0.787,0.576,0.608,0.8463149,0.531,0.524204,209s,66.67,100.0,170.0,,0.58,45.12,26.62,38.21,3.638,4.498,123.0,0.0,70.73,82.11,83.74,66.059,1.99,6.68,13.3,122.0,3.4,1.01,0.66,84.15,0.66,0.75,0.96,0.23,0.88,48.1,5.86,91.26,79.96,0.74,773.7,3.81,89.08,0.43,0.47,0.0,1.45,94.93,T1060s3
T1060s3TS487_3,0.55353,0.681008,0.666,0.582,0.746,0.76944,0.6685,0.6880,0.6459019,0.4759361,0.760,0.555,0.511,0.8538065,0.535,0.557990,487s,68.7,100.0,56.0,,0.7,47.16,26.48,40.64,4.1560000000000015,5.343,123.0,0.0,75.61,85.37,85.37,71.315,1.86,6.78,12.9,118.0,3.1,2.01,0.62,78.86,0.63,0.72,0.94,0.31,0.87,53.8,5.6,92.01,80.48,0.75,754.9,5.08,86.13,0.4,14.23,0.84,1.45,94.93,T1060s3
T1060s3TS070_4,0.25316,0.47029,0.426,0.325,0.577,0.52203,0.5225,0.5029,0.4266253,0.39796406,0.701,0.486,0.443,0.6681987,0.49,0.283437,070s,48.78,100.0,397.0,,-0.47,27.84,11.36,20.11,5.4510000000000005,6.51,123.0,0.0,42.28,68.29,69.11,44.227,2.51,4.87,6.3,106.0,3.9,1.22,0.5,54.06,0.56,0.55,0.83,0.55,0.81,56.2,5.04,77.87,64.25,0.57,387.0,12.97,78.91,0.26,0.47,0.0,2.17,89.86,T1060s3
T1060s3TS075_3,0.53272,0.587082,0.571,0.621,0.673,0.75759,0.6633,0.6452,0.5609891,0.45057988,0.755,0.527,0.437,0.85563326,0.51,0.506800,075s,62.4,100.0,311.0,,0.33,41.47,23.88,34.89,4.3889999999999985,5.266,123.0,0.0,71.54,79.67,82.11,62.495,2.07,6.28,11.4,113.0,3.0,2.75,0.61,79.67,0.62,0.7,0.94,0.28,0.86,71.1,5.46,89.34,74.03,0.7,677.6,5.0,82.92,0.38,64.93,2.52,1.45,97.1,T1060s3
T1060s3TS367_2,0.55408,0.638905,0.644,0.618,0.726,0.75954,0.7136,0.7197,0.5934777,0.48271123,0.741,0.568,0.537,0.8520628,0.526,0.581761,367s,68.5,100.0,74.0,,0.69,46.95,26.05,39.88,3.747,4.872,123.0,9.0,74.8,82.11,84.55,71.446,1.91,6.78,12.7,118.0,3.4,2.5,0.64,84.96,0.65,0.74,0.95,0.21,0.88,55.4,5.73,92.34,81.41,0.75,743.4,3.63,,0.41,31.94,0.84,1.45,91.3,T1060s3
T1060s3TS367_3,0.55280,0.625051,0.623,0.605,0.726,0.75910,0.7114,0.7164,0.5905645,0.48207554,0.741,0.555,0.512,0.851359,0.528,0.551098,367s,67.68,100.0,101.0,,0.64,46.75,24.46,39.67,3.747,4.96,123.0,12.0,73.17,82.11,84.55,76.94,1.92,6.78,12.7,115.0,2.5,2.43,0.63,84.96,0.64,0.74,0.95,0.21,0.88,52.0,5.73,92.17,80.83,0.75,726.2,3.69,,0.41,32.84,0.84,1.45,93.48,T1060s3
T1060s3TS042_3,0.44172,0.563512,0.506,0.409,0.711,0.67924,0.6091,0.6068,0.5285826,0.4442009,0.708,0.513,0.463,0.82171416,0.49,0.385349,042s,59.76,100.0,357.0,,0.18,38.41,15.57,28.35,4.6080000000000005,5.685,123.0,0.0,60.16,74.8,78.86,55.573,2.31,5.77,9.8,115.0,3.5,1.5,0.58,70.33,0.6,0.66,0.9,0.35,0.85,59.4,5.6,88.16,73.22,0.66,597.1,6.19,84.04,0.34,0.95,0.84,7.25,81.16,T1060s3
T1060s3TS075_4,0.51337,0.586469,0.564,0.632,0.702,0.75273,0.6928,0.7193,0.5712175,0.4496503,0.764,0.521,0.446,0.8562917,0.515,0.507617,075s,61.79,100.0,328.0,,0.3,40.65,24.15,34.27,4.456,5.3039999999999985,123.0,0.0,69.11,78.05,80.49,59.368,2.09,6.48,11.4,119.0,3.6,2.8,0.61,79.67,0.62,0.7,0.94,0.28,0.85,74.5,5.46,89.4,74.49,0.7,673.5,4.76,82.29,0.39,64.45,1.68,2.17,94.93,T1060s3
